accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.03,0.05,0.98,0.03,0.04,-0.12,2.04,3.0
0.04,0.05,0.97,0.05,0.05,-0.13,2.34,3.19
0.04,0.05,0.97,0.07,0.06,-0.14,2.53,2.87
0.04,0.04,0.97,0.09,0.07,-0.15,2.4,2.58
0.04,0.04,0.98,0.11,0.09,-0.15,2.18,2.47
0.03,0.05,0.98,0.13,0.09,-0.16,1.82,2.66
0.03,0.05,0.98,0.16,0.11,-0.16,1.77,2.65
0.03,0.05,0.98,0.18,0.12,-0.16,1.52,2.67
0.02,0.05,0.98,0.17,0.13,-0.16,1.27,2.84
0.02,0.05,0.98,0.19,0.14,-0.17,0.94,2.82
0.01,0.05,0.98,0.22,0.15,-0.17,0.8,3.2
0.01,0.06,1.0,0.24,0.15,-0.14,0.69,3.42
0.01,0.05,1.01,0.25,0.18,-0.14,0.6,3.08
0.0,0.04,1.0,0.29,0.18,-0.12,0.13,2.5
-0.0,0.06,1.0,0.31,0.2,-0.1,-0.27,3.47
-0.01,0.06,1.01,0.33,0.21,-0.09,-0.85,3.51
-0.03,0.06,1.0,0.36,0.23,-0.05,-1.86,3.52
-0.03,0.05,0.99,0.37,0.24,-0.02,-1.97,2.9
-0.03,0.05,0.98,0.39,0.24,0.0,-1.82,2.83
-0.04,0.04,0.95,0.39,0.25,0.01,-2.25,2.4
-0.04,0.02,0.93,0.39,0.24,0.03,-2.27,1.51
-0.04,0.02,0.91,0.38,0.23,0.05,-2.56,1.03
-0.05,-0.0,0.88,0.37,0.23,0.03,-3.03,-0.17
-0.04,-0.02,0.87,0.36,0.22,0.01,-2.78,-1.02
-0.04,-0.02,0.87,0.34,0.24,-0.0,-2.96,-1.38
-0.06,-0.03,0.86,0.31,0.26,-0.01,-3.73,-2.13
-0.05,-0.03,0.86,0.3,0.27,-0.01,-3.25,-1.85
-0.06,-0.03,0.85,0.28,0.27,-0.03,-4.04,-1.8
-0.07,-0.02,0.85,0.25,0.28,-0.06,-4.46,-1.17
-0.07,-0.02,0.86,0.22,0.25,-0.06,-4.95,-1.13
-0.08,-0.0,0.86,0.17,0.26,-0.09,-5.35,-0.25
-0.09,0.0,0.87,0.15,0.24,-0.1,-5.98,0.07
-0.1,0.01,0.9,0.12,0.22,-0.11,-6.49,0.93
-0.11,0.02,0.91,0.07,0.23,-0.11,-6.66,1.38
-0.11,0.03,0.93,0.05,0.21,-0.1,-6.91,2.03
-0.12,0.04,0.95,0.01,0.19,-0.08,-7.05,2.2
-0.11,0.04,0.96,-0.01,0.19,-0.06,-6.24,2.41
-0.1,0.05,0.96,-0.06,0.17,-0.03,-6.1,2.82
-0.09,0.05,0.96,-0.07,0.12,-0.0,-5.57,3.15
-0.09,0.05,0.96,-0.11,0.1,0.01,-5.15,2.75
-0.07,0.04,0.95,-0.14,0.05,0.05,-4.04,2.59
