accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.07,0.16,1.04,-0.01,-1.48,-0.16
-0.11,0.17,1.05,0.06,-1.42,-0.17
-0.13,0.15,1.07,0.12,-1.39,-0.17
-0.17,0.15,1.1,0.2,-1.38,-0.17
-0.19,0.16,1.13,0.28,-1.4,-0.16
-0.25,0.21,1.19,0.38,-1.43,-0.19
-0.3,0.22,1.2,0.49,-1.47,-0.21
-0.32,0.24,1.2,0.6,-1.5,-0.24
-0.32,0.26,1.22,0.71,-1.48,-0.28
-0.31,0.29,1.25,0.8,-1.42,-0.34
-0.31,0.31,1.27,0.87,-1.33,-0.41
-0.36,0.33,1.23,0.94,-1.18,-0.49
-0.35,0.34,1.23,0.96,-0.97,-0.53
-0.34,0.33,1.26,0.96,-0.81,-0.58
-0.32,0.31,1.26,0.95,-0.67,-0.6
-0.31,0.28,1.26,0.9,-0.55,-0.63
-0.34,0.27,1.23,0.86,-0.44,-0.62
-0.37,0.27,1.21,0.8,-0.25,-0.58
-0.44,0.31,1.25,0.78,-0.17,-0.52
-0.49,0.32,1.28,0.79,-0.08,-0.46
-0.54,0.35,1.34,0.81,0.01,-0.39
-0.63,0.4,1.37,0.88,0.11,-0.34
-0.7,0.44,1.38,0.96,0.2,-0.27
-0.77,0.47,1.4,1.04,0.32,-0.19
-0.75,0.44,1.39,1.1,0.39,-0.1
-0.79,0.4,1.35,1.1,0.65,0.06
-0.76,0.39,1.29,1.08,0.96,0.27
-0.7,0.42,1.27,1.01,1.31,0.49
-0.54,0.42,1.29,0.9,1.56,0.68
-0.45,0.43,1.29,0.74,1.74,0.85
-0.44,0.44,1.33,0.57,1.88,1.01
-0.47,0.45,1.34,0.36,1.93,1.14
-0.44,0.43,1.4,0.17,1.81,1.23
-0.44,0.41,1.38,-0.04,1.7,1.29
-0.38,0.38,1.4,-0.25,1.61,1.31
-0.33,0.35,1.48,-0.46,1.51,1.29
-0.35,0.35,1.58,-0.64,1.4,1.22
-0.4,0.36,1.73,-0.72,1.27,1.09
-0.43,0.36,1.84,-0.75,1.19,0.94
-0.46,0.34,1.93,-0.7,1.22,0.74
-0.49,0.32,1.97,-0.62,1.33,0.55
-0.45,0.28,1.99,-0.5,1.51,0.35
-0.41,0.24,1.96,-0.37,1.71,0.16
-0.42,0.21,1.92,-0.27,1.97,-0.01
-0.42,0.17,1.84,-0.16,2.25,-0.13
-0.41,0.14,1.75,-0.06,2.54,-0.2
-0.4,0.17,1.7,0.03,2.75,-0.23
-0.38,0.2,1.67,0.11,2.91,-0.23
-0.37,0.2,1.65,0.16,3.01,-0.2
-0.33,0.19,1.66,0.22,3.03,-0.15
-0.27,0.14,1.71,0.23,3.06,-0.12
-0.19,0.08,1.74,0.24,3.1,-0.1
-0.14,0.05,1.78,0.25,3.17,-0.1
-0.13,0.03,1.8,0.27,3.27,-0.11
-0.11,0.03,1.82,0.32,3.37,-0.1
-0.07,-0.0,1.85,0.38,3.47,-0.09
-0.04,-0.02,1.88,0.47,3.56,-0.09
0.02,-0.06,1.86,0.59,3.65,-0.07
0.01,-0.06,1.81,0.68,3.74,-0.02
0.04,-0.08,1.82,0.8,3.81,0.02
0.03,-0.09,1.73,0.92,3.94,0.08
0.08,-0.13,1.7,1.01,4.09,0.14
0.08,-0.18,1.61,1.1,4.18,0.19
0.1,-0.2,1.58,1.13,4.22,0.24
0.13,-0.23,1.57,1.14,4.19,0.27
0.2,-0.26,1.54,1.14,4.19,0.28
0.26,-0.29,1.52,1.11,4.2,0.3
0.31,-0.32,1.52,1.08,4.24,0.29
0.34,-0.34,1.54,1.07,4.24,0.27
0.37,-0.36,1.55,1.07,4.2,0.27
0.4,-0.37,1.55,1.09,4.2,0.27
0.42,-0.39,1.56,1.13,4.22,0.27
0.43,-0.4,1.55,1.2,4.26,0.26
0.42,-0.4,1.49,1.28,4.3,0.27
0.4,-0.4,1.44,1.36,4.34,0.3
0.39,-0.4,1.38,1.43,4.34,0.34
0.4,-0.4,1.33,1.48,4.34,0.4
0.42,-0.41,1.27,1.53,4.34,0.45
0.47,-0.41,1.2,1.55,4.34,0.48
0.49,-0.39,1.17,1.56,4.34,0.53
0.53,-0.39,1.12,1.57,4.33,0.55
0.6,-0.38,1.09,1.58,4.23,0.55
0.63,-0.36,1.09,1.58,4.13,0.52
0.65,-0.37,1.09,1.6,4.08,0.48
0.66,-0.38,1.05,1.62,4.03,0.41
0.68,-0.39,1.0,1.65,4.01,0.32
0.69,-0.41,0.96,1.65,4.02,0.21
0.68,-0.37,0.92,1.65,4.0,0.09
0.68,-0.36,0.89,1.64,3.96,-0.02
0.69,-0.33,0.85,1.6,3.93,-0.12
0.69,-0.3,0.8,1.52,3.9,-0.21
0.62,-0.26,0.75,1.43,3.86,-0.28
0.55,-0.25,0.69,1.28,3.85,-0.32
0.49,-0.24,0.64,1.1,3.85,-0.33
0.45,-0.24,0.62,0.9,3.84,-0.34
0.42,-0.23,0.61,0.68,3.84,-0.32
0.39,-0.22,0.65,0.47,3.83,-0.27
0.36,-0.23,0.67,0.29,3.82,-0.2
0.33,-0.26,0.69,0.14,3.87,-0.12
0.31,-0.28,0.72,0.06,3.86,-0.03
0.31,-0.29,0.75,0.03,3.83,0.07
0.31,-0.32,0.8,0.06,3.77,0.16
0.32,-0.36,0.83,0.15,3.68,0.24
0.34,-0.39,0.83,0.3,3.61,0.3
0.34,-0.4,0.82,0.48,3.58,0.34
0.32,-0.39,0.8,0.7,3.56,0.36
0.29,-0.37,0.76,0.92,3.51,0.36
0.27,-0.33,0.7,1.13,3.43,0.33
0.27,-0.31,0.64,1.27,3.33,0.3
0.25,-0.28,0.6,1.38,3.22,0.24
0.27,-0.25,0.56,1.46,3.11,0.19
