accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.3,-1.26,0.62,1.23,4.34,0.31,12.22,-61.36
0.3,-1.26,0.47,1.29,4.34,0.34,12.72,-66.07
0.32,-1.25,0.34,1.35,4.34,0.34,13.94,-69.65
0.34,-1.23,0.22,1.39,4.34,0.35,15.0,-71.87
0.36,-1.19,0.1,1.44,4.34,0.36,16.93,-72.46
0.39,-1.12,-0.06,1.66,4.34,0.12,19.28,-70.46
0.42,-1.01,-0.24,1.46,4.34,0.34,22.25,-64.31
0.45,-0.93,-0.4,1.43,4.34,0.32,23.97,-56.89
0.46,-0.86,-0.53,1.31,4.34,0.31,24.65,-50.74
0.48,-0.78,-0.62,1.21,4.34,0.27,25.69,-44.79
0.48,-0.67,-0.68,1.1,4.34,0.23,26.75,-38.76
0.47,-0.55,-0.72,0.97,4.34,0.18,27.22,-32.69
0.46,-0.44,-0.8,0.87,4.34,0.12,26.81,-25.71
0.44,-0.31,-0.83,0.78,4.34,0.05,26.43,-18.46
0.39,-0.17,-0.84,0.67,4.34,0.01,24.44,-10.64
0.32,-0.04,-0.82,0.55,4.34,-0.03,21.31,-2.53
0.27,0.09,-0.78,0.48,4.06,-0.03,18.89,5.98
0.21,0.19,-0.75,0.41,3.76,-0.02,15.52,13.4
0.15,0.26,-0.7,0.36,3.43,0.01,11.61,19.99
0.09,0.31,-0.6,0.34,3.19,0.07,7.8,26.54
0.07,0.35,-0.53,0.33,2.99,0.15,6.13,33.63
0.05,0.36,-0.48,0.36,2.8,0.24,5.07,36.64
0.05,0.39,-0.45,0.4,2.61,0.32,4.82,40.61
0.06,0.39,-0.41,0.43,2.52,0.4,5.6,42.91
0.07,0.36,-0.36,0.48,2.41,0.47,8.34,44.28
0.1,0.33,-0.3,0.56,2.31,0.51,12.72,46.62
0.13,0.31,-0.23,0.68,2.24,0.52,18.78,49.68
0.16,0.3,-0.18,0.83,2.11,0.5,24.31,50.7
0.16,0.3,-0.16,1.0,1.99,0.43,25.53,52.75
0.16,0.37,-0.17,1.18,1.84,0.36,20.91,58.34
0.15,0.47,-0.17,1.33,1.65,0.3,16.56,64.59
0.14,0.58,-0.16,1.42,1.47,0.24,12.79,69.82
0.11,0.65,-0.12,1.5,1.24,0.23,9.7,75.98
0.14,0.67,-0.1,1.54,1.06,0.22,11.97,75.32
0.21,0.7,-0.13,1.57,0.89,0.18,16.18,70.78
0.26,0.77,-0.2,1.5,0.78,0.13,18.3,66.88
