accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
-0.03,0.07,0.97,-0.06,0.0,-0.02,-1.91,4.07
-0.04,0.07,0.98,-0.04,0.01,-0.02,-2.22,4.15
-0.04,0.07,0.98,-0.06,0.02,-0.02,-2.22,4.22
-0.04,0.07,0.98,-0.05,0.01,-0.01,-2.51,4.18
-0.05,0.07,0.98,-0.03,-0.0,-0.01,-2.85,4.07
-0.05,0.08,0.99,-0.02,0.02,-0.0,-2.71,4.47
-0.05,0.08,0.99,-0.0,0.01,0.01,-3.13,4.35
-0.05,0.07,0.98,0.0,0.0,0.01,-2.87,4.29
-0.05,0.08,0.96,0.02,-0.01,0.01,-3.07,4.47
-0.05,0.07,0.96,0.01,0.01,0.0,-3.26,4.21
-0.05,0.07,0.96,0.02,0.01,0.02,-2.97,4.07
-0.06,0.07,0.96,0.04,-0.0,0.02,-3.33,3.98
-0.06,0.06,0.97,0.04,-0.02,0.02,-3.48,3.56
-0.05,0.06,0.96,0.04,-0.02,0.03,-3.18,3.73
-0.06,0.04,0.95,0.03,0.0,0.04,-3.6,2.54
-0.07,0.03,0.94,0.04,-0.02,0.04,-4.28,2.07
-0.07,0.03,0.93,0.03,-0.02,0.04,-4.39,1.55
-0.07,0.02,0.94,0.03,-0.01,0.04,-3.97,1.5
-0.07,0.03,0.94,-0.0,0.01,0.05,-4.33,1.72
-0.06,0.03,0.94,0.01,-0.02,0.06,-3.68,1.62
-0.07,0.02,0.95,0.01,-0.03,0.08,-4.07,1.42
-0.06,0.03,0.95,-0.0,-0.02,0.08,-3.75,1.59
-0.06,0.03,0.94,-0.0,-0.03,0.08,-3.76,1.91
-0.06,0.04,0.95,-0.01,-0.02,0.09,-3.39,2.47
-0.05,0.04,0.94,0.0,-0.04,0.1,-2.93,2.66
-0.05,0.04,0.94,0.01,-0.02,0.1,-2.79,2.51
-0.03,0.05,0.93,0.01,0.0,0.1,-2.11,2.88
-0.03,0.04,0.93,0.02,0.0,0.11,-1.9,2.75
-0.03,0.05,0.93,0.04,0.01,0.1,-2.02,2.79
-0.03,0.03,0.92,0.04,0.0,0.1,-1.87,2.08
-0.03,0.03,0.92,0.04,0.03,0.09,-1.82,1.78
-0.02,0.02,0.91,0.03,0.03,0.09,-1.25,1.56
-0.02,0.02,0.9,0.04,0.02,0.1,-1.04,1.19
-0.01,0.02,0.9,0.02,0.03,0.08,-0.91,0.98
-0.02,0.01,0.89,0.01,0.03,0.08,-1.04,0.45
-0.01,-0.01,0.88,0.01,0.01,0.09,-0.8,-0.45
-0.01,-0.0,0.88,-0.01,0.02,0.07,-0.84,-0.29
-0.01,-0.02,0.87,-0.03,0.02,0.06,-0.48,-1.02
-0.01,-0.02,0.87,-0.05,0.02,0.07,-0.68,-1.22
-0.01,-0.02,0.87,-0.07,0.01,0.06,-0.54,-1.6
-0.01,-0.03,0.87,-0.08,-0.0,0.06,-0.61,-2.1
-0.01,-0.03,0.87,-0.09,-0.01,0.06,-0.56,-1.8
-0.01,-0.03,0.88,-0.12,-0.02,0.07,-0.34,-1.74
-0.0,-0.03,0.88,-0.14,-0.03,0.07,-0.31,-1.87
-0.01,-0.02,0.88,-0.17,-0.03,0.06,-0.61,-1.59
-0.01,-0.03,0.89,-0.19,-0.04,0.05,-0.86,-1.79
-0.01,-0.02,0.89,-0.21,-0.04,0.05,-0.59,-1.27
-0.01,-0.02,0.9,-0.23,-0.05,0.05,-0.82,-1.26
-0.01,-0.02,0.9,-0.24,-0.06,0.05,-0.66,-1.03
-0.01,-0.0,0.91,-0.24,-0.07,0.06,-0.59,-0.12
-0.01,0.0,0.93,-0.24,-0.05,0.06,-0.46,0.22
-0.01,0.01,0.93,-0.25,-0.05,0.06,-0.37,0.85
-0.01,0.03,0.94,-0.24,-0.04,0.05,-0.33,1.55
-0.01,0.03,0.93,-0.25,-0.03,0.05,-0.31,1.75
-0.0,0.03,0.93,-0.21,-0.03,0.04,-0.07,1.99
-0.0,0.03,0.94,-0.22,-0.0,0.04,-0.13,2.09
-0.0,0.04,0.94,-0.2,-0.0,0.03,-0.23,2.21
-0.01,0.04,0.95,-0.18,0.0,0.03,-0.44,2.17
-0.01,0.02,0.95,-0.18,0.03,0.01,-0.56,1.42
-0.01,0.03,0.96,-0.18,0.03,0.02,-0.76,1.63
-0.01,0.02,0.96,-0.18,0.03,0.02,-0.79,1.47
-0.01,0.03,0.95,-0.16,0.03,0.02,-0.78,1.68
-0.02,0.02,0.96,-0.17,0.04,0.01,-1.11,1.06
-0.01,0.02,0.95,-0.16,0.04,0.02,-0.6,1.46
-0.01,0.02,0.96,-0.17,0.03,0.03,-0.85,1.34
-0.01,0.03,0.96,-0.15,0.01,0.03,-0.83,1.62
-0.02,0.03,0.97,-0.15,0.02,0.01,-1.25,1.96
-0.01,0.03,0.96,-0.18,0.02,0.02,-0.68,2.07
-0.01,0.05,0.98,-0.17,0.02,0.03,-0.72,2.96
-0.01,0.06,0.96,-0.15,-0.0,0.03,-0.83,3.53
-0.02,0.04,0.97,-0.15,-0.0,0.04,-1.16,2.19
-0.01,0.06,0.97,-0.16,0.01,0.03,-0.79,3.47
-0.02,0.05,0.97,-0.15,0.01,0.02,-1.16,3.14
-0.02,0.06,0.98,-0.13,0.0,0.02,-1.43,3.4
